ID,Name,Topic,Topic ID,Modul,Modul ID,Prüfung,Prüfung ID,Anzahl Karten
c0304bbd-379e-4e0b-8ecd-6af9c2414741,Firmware,Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
0a291469-6859-4bd4-a716-cf4751f56c2b,Fremdschluessel,Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
fa663a90-a21f-44ff-a4a6-ee2eafb5c3cc,Fremdvergabe (Outsourcing),Wirtschaft,1af14094-bb9c-4905-b8c2-ca68f37769b9,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
2147be24-4ae9-407b-aa3b-5f0a13ad6289,Fuehrungsstil,Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
4be571bc-5748-49df-90e9-889bd93df3be,GPT (Partitionsstil),Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
17de6ba4-f6ee-4ca2-9464-7e78fffe2382,GWG (Geringwertiges Wirtschaftsgut),Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
93892358-1316-4380-9393-9eb1b1ca0d8b,Gantt-Diagramm,Projektmanagement,e7d48aa8-eceb-4d9c-99d0-be55072f9ddd,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
03828717-92e2-45c2-8011-ebe7f7193c05,Gateway,Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
b07cbfd2-c4d7-48d6-9a20-64493c9c0099,Gefährdungsbeurteilung,WiSo Sicherheit & Umwelt,88e2a76b-6794-4355-a7b1-adf8c6c33b6c,WiSo,c37a55d3-e981-4730-a048-cfc44e0e5e34,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
c87de368-7967-4773-b0d2-0b5418a244ec,Generative KI,Künstliche Intelligenz,70987d36-a722-4a78-89c0-dbf353b7be9f,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
3f585c6a-840a-404d-a1eb-1894a9a5df4e,Geräteklassen,Hardware,0d79adb0-f1e2-4dc5-9424-45fe7d8c1107,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
7cc53405-7ebd-4d23-891b-d27308e97549,Gesamtkosten-Berechnung,Berechnung,20bd56ce-eeed-4b74-9eb3-a085aa24a30e,Berechnungen,8aa51ebf-d8ce-411f-be36-5151402a98f7,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
b12acd0d-f4de-4797-808b-8831177991ef,Gewinn,Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
09b0205d-82e9-4680-a944-93ce9309d77c,Globalisierung,Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
efae4bd2-4ab3-4e4b-8016-4d88b11f64be,GmbH vs. AG,WiSo Unternehmen & Wirtschaft,c47762d5-0461-4743-8f27-30e139588359,WiSo,c37a55d3-e981-4730-a048-cfc44e0e5e34,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
f1d52134-f496-4dcf-944e-48402807e30e,Grafikkarte,Hardware,0d79adb0-f1e2-4dc5-9424-45fe7d8c1107,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
3f48b281-68ec-4e1f-9328-1dccbff2db5b,Green IT,Nachhaltigkeit,23fd8026-cecf-49ab-9219-877e13e3dd36,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
49c7e3be-4777-4919-bb42-124c254f0f1e,Grundschutz-Maßnahmen,Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
5e3f83a6-a12d-4492-a21a-073f7fb229fa,Gruppenrichtlinien,Systemadministration,8e211b19-bebd-4139-900b-77207dada86e,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
7500ce43-60df-44f2-81ed-df62523a8255,HDD,Hardware,0d79adb0-f1e2-4dc5-9424-45fe7d8c1107,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
838a2ad8-1079-4db4-92f0-dbeae0aa9cff,HDMI,Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
ad60e72d-daea-425e-857e-bab9cf96c9fc,HTTPS,Netzwerk,b9c28988-cfaf-446a-9e77-8d51f3f6bc96,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
5fed970a-a89a-49a2-a432-b11b339d6844,Handelskalkulation,Wirtschaft,1af14094-bb9c-4905-b8c2-ca68f37769b9,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
3e70f6df-6d8e-4ac2-85b5-b03b182ba06c,Handelsspanne,Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
2d4aa9cc-fe12-4d8e-9c7f-6421c11aaffc,Hashverfahren,IT-Sicherheit,2b58371d-a02b-4c32-8abe-4e52d056c9ae,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
1dddc881-19bc-420a-8029-6eef59281ea4,Hashwert,Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
77a728b9-3eff-443e-9de2-eb3f3daf2b02,Hexadezimalsystem,Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
